Vehicle_Type,Vehicle_Age,Mileage,Engine_Temp,RPM,Oil_Pressure,Fuel_Consumption,Battery_Voltage,Brake_Pressure,Tire_Pressure,Tire_Condition,Vibration_Level,Last_Service_Months,Accident_History,KM_Range_Before_Defect,Remaining_KM
SUV,7,117110,97,2687,28,9.3,11.94,26,35,Moderate,Medium,9,No,50000-80000,72896.80808
Hatchback,4,64016,92,655,47,16.8,12.24,29,36,Good,Low,11,No,50000-80000,61208.31955
Sedan,6,246249,91,715,41,13.2,11.78,32,36,Worn,Low,12,No,50000-80000,75944.55848
Hatchback,4,206896,83,2376,43,17.2,12.59,27,32,Good,Low,7,No,80000+,93707.47712
Hatchback,1,101733,98,3433,36,14.3,11.73,35,29,Good,Low,10,No,80000+,90329.96466
Hatchback,2,58737,99,2714,33,20.6,11.75,32,33,Worn,Low,11,No,25000-50000,25298.85186
Truck,12,51137,108,1039,29,9.2,11.71,27,35,Worn,Low,9,No,10000-25000,24640.6239
Sedan,7,174889,91,1399,33,14.5,12.14,27,28,Good,Medium,8,No,50000-80000,62833.32582
Hatchback,9,42655,97,1323,31,17.2,12.67,42,35,Moderate,Low,12,Yes,10000-25000,21824.00905
SUV,1,6027,100,2617,23,11.6,12.58,45,34,Moderate,High,3,No,25000-50000,29433.75337
Hatchback,7,14477,94,1902,33,21.3,12.19,35,30,Good,Medium,12,No,25000-50000,31997.02974
Sedan,12,246371,87,1558,31,15.2,11.89,36,36,Moderate,Medium,2,No,50000-80000,76541.20123
Truck,12,126015,103,2482,17,5.4,12.25,34,31,Good,Low,12,No,10000-25000,11787.47912
SUV,8,143110,91,3285,29,9.8,11.79,36,36,Good,Low,10,No,80000+,91325.58878
Hatchback,2,32291,87,1953,37,14.9,12.37,42,34,Moderate,Medium,7,Yes,50000-80000,70625.49078
Sedan,7,231655,95,2025,41,15.8,12.38,41,36,Moderate,Low,2,No,80000+,98853.33823
SUV,7,207235,106,1613,31,10.5,12.59,37,32,Critical,Low,4,No,10000-25000,20538.1337
Sedan,12,163606,86,2813,32,13.3,12.55,40,31,Good,Low,4,No,80000+,89696.33009
Truck,11,158904,94,3402,34,5.9,12.5,36,31,Moderate,High,5,Yes,10000-25000,16508.75814
Truck,11,148875,99,1725,18,9.7,12.46,36,35,Good,Low,5,No,25000-50000,37718.23703
Hatchback,7,52684,90,1047,35,20.8,12.56,44,36,Good,Low,10,Yes,50000-80000,52597.33907
SUV,8,41029,100,1708,43,10.4,12.04,30,36,Moderate,Medium,10,No,50000-80000,73781.28512
Truck,5,103367,112,3336,34,5.4,12.49,32,31,Good,Medium,11,No,3000-10000,3654.612601
Hatchback,9,150277,86,1928,39,17.8,11.84,39,30,Worn,Low,10,Yes,50000-80000,71366.84804
SUV,9,78157,101,2527,25,12.1,11.99,27,36,Good,High,3,No,25000-50000,49433.95154
SUV,5,136121,89,3352,39,14.6,12.12,32,29,Good,High,3,No,50000-80000,67208.68869
Truck,10,137460,117,1332,36,9.3,12.04,42,32,Good,Medium,12,Yes,3000-10000,9868.806449
Truck,2,100545,107,2038,21,5.9,12.17,40,35,Moderate,Low,5,No,3000-10000,6111.462299
Hatchback,2,117014,87,1327,38,17.6,12.11,35,36,Good,Medium,12,Yes,25000-50000,47271.38587
SUV,3,217143,99,3468,27,7,12.17,26,30,Good,High,8,No,25000-50000,43543.46785
Sedan,8,47675,101,2284,40,16,12.09,27,32,Good,Low,4,No,80000+,96335.29428
Sedan,10,98157,97,1302,39,16.1,12.31,28,29,Moderate,Medium,11,Yes,10000-25000,12614.45755
Sedan,10,23351,102,2628,42,13.2,12.37,43,36,Good,Low,1,No,80000+,102904.3364
Hatchback,1,170131,86,2603,37,20.4,12.65,30,34,Good,High,1,No,50000-80000,56694.61554
Hatchback,4,124519,100,2952,41,17.7,12.13,29,31,Moderate,High,5,No,25000-50000,32179.96151
SUV,11,35708,103,1655,39,10.4,11.86,38,28,Good,Medium,9,No,80000+,103974.7382
Sedan,4,82611,97,2118,43,15.4,12.23,32,29,Good,High,8,No,25000-50000,31661.59273
Hatchback,12,9603,95,602,30,20.6,12.18,36,35,Good,Low,1,No,80000+,97130.3033
Sedan,6,92062,97,1020,31,15.5,11.73,33,30,Moderate,Low,3,No,50000-80000,74126.98104
Hatchback,5,86115,94,2104,33,18.6,12.4,29,30,Moderate,Low,8,No,50000-80000,68678.00905
Hatchback,7,110152,90,1309,32,20.1,11.86,38,29,Good,High,3,Yes,25000-50000,31061.95794
Hatchback,7,46657,90,2741,37,20.2,11.81,41,30,Moderate,Low,11,No,50000-80000,67755.04428
SUV,2,13512,87,1355,26,12.8,11.95,28,33,Good,Low,6,No,80000+,98849.50826
Hatchback,3,106583,97,1480,44,18.2,12.36,40,34,Good,Low,5,No,80000+,87663.67505
Truck,3,170943,112,1691,21,7.2,12.57,26,28,Moderate,Medium,7,No,3000-10000,9274.265038
Hatchback,1,46961,86,2199,44,15.8,12.76,34,31,Good,Medium,4,No,80000+,97130.14798
Truck,12,126103,116,2632,31,7.9,11.91,25,33,Critical,Low,4,No,3000-10000,8944.313877
Truck,6,237301,99,3302,31,7.6,11.73,29,34,Good,High,10,Yes,10000-25000,20038.38553
SUV,12,65030,97,2652,39,13,12.41,34,31,Moderate,High,2,Yes,25000-50000,42937.78237
Hatchback,6,226820,91,2128,34,19.8,12.6,33,34,Moderate,High,4,No,25000-50000,36218.63414
Truck,3,173261,113,935,23,4.6,12.61,26,31,Worn,Low,2,No,25000-50000,43559.35792
SUV,7,146200,94,2622,22,7.8,11.96,40,35,Good,Low,11,No,50000-80000,75870.73288
Hatchback,9,224295,92,973,33,15.9,11.87,29,33,Good,Low,4,No,80000+,90391.36726
Truck,4,39655,98,947,23,6.9,12.44,34,28,Moderate,Low,3,No,25000-50000,47687.65299
SUV,5,90015,107,2554,40,9.7,12.19,40,32,Good,Low,4,No,50000-80000,65307.18614
Sedan,10,64761,95,1672,30,16.8,12.37,41,36,Good,Low,4,Yes,50000-80000,50786.82029
SUV,1,71372,87,3448,32,10,12.35,45,28,Good,Low,11,No,50000-80000,78383.20691
Truck,5,127374,114,1248,34,9,12.7,32,36,Worn,Medium,11,No,3000-10000,3186.615195
SUV,7,64542,96,2281,28,11.8,11.99,31,36,Worn,Medium,11,No,25000-50000,28711.25551
Truck,2,140821,111,2608,26,3.9,12.28,37,33,Good,High,1,No,10000-25000,14269.85635
SUV,4,27259,101,1524,30,10.3,11.82,30,33,Good,Low,5,No,80000+,103513.7074
Hatchback,11,18508,85,2933,35,15.1,12.74,40,32,Moderate,Low,4,No,50000-80000,69346.95844
SUV,6,32919,94,652,39,8.8,12.51,42,32,Good,Low,11,No,80000+,95172.1592
SUV,7,79048,96,1648,31,13.4,11.78,40,35,Good,Medium,11,No,25000-50000,30823.66074
Sedan,2,160958,91,1110,37,14.8,12.45,43,36,Moderate,Medium,5,No,50000-80000,50185.01096
Sedan,7,42387,89,2765,31,16.7,12.13,37,28,Good,High,12,No,10000-25000,13218.70207
Truck,1,243283,96,2343,26,10.3,12.17,35,36,Worn,Low,10,No,25000-50000,46194.27086
SUV,11,147792,106,839,31,10.2,11.87,37,32,Good,Low,10,No,50000-80000,72047.19387
SUV,3,197784,94,948,35,8.7,11.87,42,35,Critical,Low,1,No,50000-80000,73466.4927
Truck,8,161253,105,1814,20,3.5,12.68,39,34,Good,High,8,Yes,3000-10000,4299.532428
Truck,3,30178,99,830,35,6.1,12.22,42,36,Worn,Medium,9,No,25000-50000,49138.2163
Truck,1,12722,105,1259,16,5.3,12.26,31,33,Moderate,Medium,9,No,10000-25000,23113.49598
SUV,12,104930,95,614,29,10.3,11.81,45,32,Moderate,Low,10,Yes,50000-80000,72540.47784
Sedan,1,25813,86,613,30,13.4,12.64,42,36,Good,Low,11,No,50000-80000,68477.81561
Sedan,4,197932,83,3114,40,12.9,11.75,43,35,Good,Medium,5,No,80000+,89287.04241
Hatchback,10,204624,95,1644,32,19.5,12.4,44,36,Moderate,High,9,No,10000-25000,16246.21147
Truck,1,5760,115,2104,31,5.6,12.34,44,32,Moderate,Medium,7,No,10000-25000,14644.7347
Hatchback,1,242178,86,2722,38,20.7,12.62,31,34,Critical,Low,8,Yes,25000-50000,40951.70654
Hatchback,8,217727,94,1391,38,19,12.1,26,28,Critical,Low,11,No,25000-50000,35522.7246
Sedan,10,58451,84,1641,35,13.2,12.05,28,33,Good,Medium,8,No,50000-80000,68666.8834
Hatchback,4,214298,89,1045,41,18.8,11.97,33,29,Moderate,High,12,No,10000-25000,24538.50498
SUV,10,140195,92,2298,23,10.5,11.82,33,33,Good,Low,6,No,80000+,102946.18
Truck,7,194330,104,2773,26,8.4,12.68,35,35,Good,High,10,No,10000-25000,16958.97983
SUV,3,107698,95,1142,30,13.7,12.46,40,29,Good,Low,6,No,80000+,103205.1943
SUV,6,68538,92,1687,42,8.6,12.65,31,34,Worn,Low,6,No,80000+,94660.05553
Hatchback,9,110882,86,2442,34,23,12.44,25,28,Good,High,6,No,25000-50000,43371.26281
Truck,7,40252,112,2079,17,7.6,11.92,28,31,Critical,Low,2,No,3000-10000,7513.991123
Hatchback,5,8149,84,763,48,21,11.81,41,33,Good,Low,2,No,80000+,85741.49395
SUV,1,122190,100,2277,35,11.9,11.77,25,30,Critical,Medium,7,No,25000-50000,45962.57554
Sedan,6,148896,89,3056,35,13.1,12.25,37,29,Worn,Low,9,No,50000-80000,65606.56119
SUV,1,105543,98,3479,32,12.3,11.95,30,29,Good,Medium,12,No,25000-50000,46360.75508
SUV,10,195515,96,2655,25,11.6,12.48,36,31,Moderate,High,9,Yes,10000-25000,19985.10911
Sedan,5,202052,92,1694,37,12.5,12.7,36,31,Good,Low,9,No,80000+,96101.86242
Hatchback,2,26904,88,1213,38,16.6,11.96,35,32,Critical,Medium,2,No,50000-80000,53181.05746
Sedan,9,167804,90,1784,29,16.8,12.26,26,28,Good,Medium,4,No,50000-80000,63995.00528
Hatchback,2,242458,98,1059,45,20.8,12.18,31,32,Good,Low,3,No,80000+,91561.26781
Sedan,4,242455,92,3301,27,11.7,11.8,35,28,Worn,Medium,6,No,50000-80000,72087.19177
SUV,7,40518,101,2044,37,6.8,12.74,40,30,Worn,High,5,Yes,25000-50000,38092.4706
Hatchback,12,248843,88,2693,34,17.2,12.09,38,34,Good,Low,5,No,80000+,86717.90165
Sedan,1,167939,96,3359,28,14,12.68,43,28,Critical,High,12,No,0-3000,1737.15842
SUV,2,50991,91,2239,35,10.9,11.96,41,35,Good,Medium,4,No,80000+,87423.59326
SUV,8,78433,106,2691,38,9,12.56,39,33,Moderate,Low,10,No,50000-80000,67624.54881
Sedan,8,101831,99,2275,29,17.9,12.49,39,31,Moderate,Medium,6,No,25000-50000,39813.4463
Truck,2,24484,109,2197,17,8.4,11.96,31,31,Good,Low,2,No,10000-25000,13499.20977
Hatchback,9,169511,96,3207,39,15.5,11.97,26,35,Critical,Medium,1,No,25000-50000,44174.20319
Truck,5,22352,109,1836,20,9.8,12.5,33,35,Good,Low,2,No,10000-25000,23730.81446
Truck,5,13391,108,3041,32,4.8,12.55,25,30,Moderate,Low,3,Yes,10000-25000,14637.44566
Sedan,2,183764,96,2934,41,15.2,11.94,37,32,Good,High,9,No,25000-50000,43277.07513
SUV,1,7716,104,2206,36,14,12.49,41,34,Worn,Low,1,No,80000+,97206.01453
Hatchback,11,74534,92,835,39,21.6,12.18,39,30,Critical,Medium,12,No,10000-25000,14131.08527
Truck,2,116270,101,1936,32,6.8,12.74,26,28,Worn,Low,2,No,50000-80000,66046.65583
SUV,7,192390,102,2540,25,10.5,12.68,31,28,Worn,High,6,No,25000-50000,39398.00719
Sedan,11,222347,102,1580,30,15.6,12.49,34,32,Critical,Low,8,No,25000-50000,28241.63653
SUV,7,62201,106,1491,30,12.4,12.5,40,31,Moderate,Low,3,No,25000-50000,36929.72603
Sedan,10,87954,100,2600,43,18.3,12.46,40,30,Good,Medium,11,No,25000-50000,25235.00036
Truck,6,225691,114,2476,20,4.9,12,38,29,Worn,Low,3,No,3000-10000,7485.768687
SUV,8,191269,95,631,29,12,12.73,36,31,Good,Medium,5,No,50000-80000,56282.69438
Sedan,12,31191,88,712,44,14.7,12.79,44,30,Critical,Medium,12,No,10000-25000,16799.34844
SUV,8,128656,103,641,32,7.7,12.13,36,33,Moderate,Medium,1,No,50000-80000,65722.2902
SUV,1,126181,99,2557,33,11.4,12.67,26,33,Moderate,Medium,10,No,50000-80000,78325.13584
Hatchback,2,61744,84,1579,33,12.8,12.07,43,29,Good,Low,11,No,50000-80000,78988.05766
Truck,1,76196,110,1136,28,8.2,12.72,37,30,Good,Low,12,No,10000-25000,20625.755
Sedan,10,25289,92,1998,37,16.3,11.92,37,28,Good,Low,9,No,80000+,96165.37467
SUV,11,14134,92,1117,27,8.4,12.44,42,33,Worn,Medium,11,No,25000-50000,25658.22818
Sedan,9,106280,97,1780,39,18.3,12.22,27,29,Good,High,6,No,25000-50000,25809.65684
SUV,11,64677,101,2329,35,10,12.11,30,33,Worn,Low,2,No,80000+,98731.64867
Hatchback,11,228871,85,2244,37,20,12.79,28,36,Good,Low,3,No,80000+,95760.76166
Truck,11,62192,105,629,34,7.7,11.99,27,30,Moderate,Low,1,No,50000-80000,78575.86677
Hatchback,2,205998,88,3299,32,16.6,12.33,34,34,Critical,Medium,2,No,25000-50000,41410.86865
Truck,4,91400,101,3033,35,7.7,11.89,43,28,Critical,High,11,No,0-3000,2371.565086
Sedan,11,166051,98,3279,37,12,12.51,30,31,Worn,Low,6,Yes,50000-80000,72301.81882
Hatchback,2,109701,91,1274,29,21.7,12.51,34,36,Moderate,High,11,No,10000-25000,15558.59422
Truck,11,128771,114,833,23,3.3,12.62,34,33,Good,Low,1,Yes,25000-50000,37701.02415
Hatchback,8,49852,90,3361,36,18.3,11.81,31,28,Critical,High,5,No,10000-25000,17600.84487
Truck,4,243863,100,2031,33,7,12.71,38,28,Critical,Low,4,No,10000-25000,10711.09916
SUV,3,82700,99,2719,29,9.1,12.79,32,34,Good,Medium,2,No,80000+,89940.21456
Hatchback,5,173657,89,2669,42,19.9,12.2,39,28,Critical,Low,12,No,25000-50000,39211.67554
SUV,5,114773,92,763,35,11.4,12.71,38,31,Good,Medium,9,No,80000+,87956.39229
Hatchback,2,54189,97,861,33,17.4,12.6,28,36,Moderate,Low,8,No,50000-80000,57044.84366
Hatchback,7,168562,94,3488,30,17.9,12.47,25,33,Good,Low,11,No,50000-80000,56909.34484
Hatchback,1,146916,89,1979,44,17.2,12.19,32,30,Good,Low,5,No,80000+,90190.92597
Hatchback,3,169880,94,2926,36,16.8,12.66,33,33,Good,Low,2,No,80000+,102602.9862
Truck,9,156035,116,2139,31,4.9,12.48,36,29,Critical,Medium,10,No,3000-10000,9874.043402
Sedan,7,124929,98,2504,34,14.3,12.4,44,28,Good,Medium,5,No,50000-80000,50554.27932
Hatchback,7,60689,96,758,31,19.1,12.74,36,36,Good,Low,7,Yes,50000-80000,59844.29838
Sedan,3,5473,94,651,28,15.7,12.63,26,35,Moderate,High,12,No,10000-25000,11686.05444
Hatchback,10,128639,85,1512,38,16.4,12.6,30,33,Worn,Low,6,Yes,50000-80000,77350.71684
Truck,12,156247,102,2277,26,5.9,11.82,33,30,Worn,Medium,11,No,10000-25000,19446.18607
Truck,7,184367,107,624,29,5.7,12.33,44,34,Good,Low,9,Yes,10000-25000,24079.5783
SUV,12,111251,95,3271,40,11.2,12.2,42,35,Worn,Low,12,No,50000-80000,60546.89605
Hatchback,6,160946,95,2978,35,22.3,12.43,25,33,Good,Low,11,Yes,25000-50000,38565.87113
Hatchback,6,6347,95,2020,40,17.9,12.22,31,32,Moderate,Medium,11,Yes,10000-25000,12282.56441
Truck,4,19955,108,2670,21,4.2,12.71,30,31,Good,Low,3,No,10000-25000,19286.90011
SUV,6,161568,100,1281,29,7.6,12.48,43,30,Moderate,Low,7,No,50000-80000,54535.68137
Hatchback,8,142813,93,1515,28,17.6,12.27,33,30,Critical,Medium,4,No,25000-50000,29082.31851
Hatchback,9,147295,95,1768,34,14.6,12.28,36,33,Worn,Low,1,No,50000-80000,56168.97246
Truck,10,213978,112,2653,20,8.3,12.57,27,35,Good,Low,8,No,10000-25000,11748.44183
SUV,10,101911,89,2603,25,15.1,12.5,25,28,Good,Low,3,No,80000+,97474.17293
Hatchback,1,112239,95,1141,41,22.6,12.1,42,32,Worn,Low,3,No,50000-80000,59946.99103
Truck,10,203619,106,2115,28,9,11.81,35,35,Good,High,10,No,3000-10000,3624.86526
Truck,6,80452,107,1624,28,7.2,12.68,41,34,Good,Medium,7,No,10000-25000,21802.14695
Truck,7,206448,108,3146,31,9.6,11.88,43,30,Moderate,Low,2,No,25000-50000,29866.78676
Sedan,2,247116,86,1433,41,19.2,12.28,32,31,Worn,High,7,No,25000-50000,26145.01771
Sedan,4,241148,90,2226,34,14.7,11.88,40,33,Worn,High,6,No,25000-50000,47243.82852
SUV,3,141575,99,1001,37,13.9,12.18,39,33,Good,Medium,5,No,80000+,94576.95528
Truck,11,115809,108,1939,24,7.3,12.15,27,34,Worn,Low,6,No,10000-25000,14746.80255
Sedan,11,140551,97,1858,34,14.6,12.41,37,30,Moderate,Medium,2,Yes,25000-50000,34684.10906
SUV,11,150421,90,1000,25,10.7,12.47,37,33,Moderate,Low,12,No,50000-80000,67182.30545
Truck,1,202105,99,1187,32,9.4,11.83,38,30,Critical,Low,5,No,10000-25000,24351.77606
Hatchback,1,53287,91,2437,42,15.7,12.59,45,29,Critical,Medium,10,No,25000-50000,40245.34714
Sedan,3,61250,92,602,32,13,12.29,35,32,Good,Low,2,No,80000+,99820.5554
Hatchback,6,15125,95,3473,44,15.5,11.87,37,30,Worn,Low,8,No,50000-80000,50736.4265
Truck,9,145246,111,1542,25,7.1,11.85,36,35,Moderate,High,3,No,3000-10000,3779.732995
Sedan,2,108239,90,2803,43,15,11.98,27,34,Critical,Low,10,No,50000-80000,69017.08586
Truck,1,225247,103,2861,30,5.8,12.6,44,36,Good,Medium,9,No,25000-50000,26372.23759
Sedan,2,127850,101,2002,42,15.4,12.34,38,31,Critical,Low,2,Yes,25000-50000,46910.93947
Truck,5,83997,113,955,19,8.8,12.17,45,28,Moderate,Medium,12,No,0-3000,2900.413444
SUV,6,39755,102,2866,33,9.6,12.8,27,35,Good,Low,9,No,80000+,90097.76057
Truck,1,7795,115,1827,35,7.4,12.24,37,34,Critical,Low,11,No,0-3000,1905.422116
Sedan,10,236864,98,1020,32,14.9,12.12,32,28,Good,Medium,8,No,50000-80000,71117.88617
Truck,10,36884,104,795,21,6.9,12.43,33,31,Good,Low,5,No,25000-50000,46032.97059
Truck,2,26541,106,3237,20,9,11.8,27,28,Good,Low,12,Yes,0-3000,1945.39247
Hatchback,7,133138,90,3063,45,15.6,12.23,43,36,Moderate,Medium,7,Yes,50000-80000,71690.54801
SUV,9,50922,104,2234,38,13.6,11.92,41,29,Moderate,Low,4,No,80000+,91744.72152
Truck,2,184348,98,2681,23,6.9,12.68,39,34,Good,Low,3,No,50000-80000,61841.5432
Hatchback,1,137665,85,1874,36,13.8,12.28,45,28,Good,Low,7,No,80000+,88817.97155
Truck,8,232801,98,2620,23,6.9,12.41,31,30,Good,Medium,1,No,50000-80000,58914.46262
Truck,10,160873,107,1406,15,6.4,12.55,34,34,Worn,Low,8,No,3000-10000,9443.942298
Truck,8,73671,108,2667,28,5,11.95,39,35,Moderate,Low,12,Yes,3000-10000,3131.203872
Hatchback,3,46854,94,2711,40,19,11.94,45,36,Good,Low,5,No,80000+,92062.63888
Hatchback,2,135770,92,1831,39,17.7,12.68,27,33,Good,Medium,7,No,80000+,100965.7597
Sedan,11,40641,85,2483,33,14.3,11.72,29,33,Good,Medium,8,No,50000-80000,59233.00302
SUV,3,77717,98,1399,33,11.6,12.62,40,30,Critical,Low,11,No,10000-25000,11096.04765
Hatchback,3,189777,95,2532,40,21.1,12.64,33,34,Good,High,1,No,50000-80000,60644.90674
SUV,9,61106,91,3013,33,7.6,11.78,37,31,Good,Medium,3,No,80000+,93223.43057
Sedan,5,5756,98,2991,26,14.1,12.57,35,36,Good,Low,11,No,25000-50000,43046.24845
SUV,2,69787,104,2878,33,11.8,12.17,31,28,Good,Low,10,Yes,50000-80000,69818.246
Hatchback,5,168860,90,1482,38,17.9,12.06,39,36,Moderate,Low,10,No,80000+,91170.68069
Truck,4,118276,101,2377,35,5,12.48,36,36,Good,Medium,2,Yes,25000-50000,31724.95717
Sedan,4,238656,98,3188,38,12.6,12.27,37,29,Critical,Medium,5,No,25000-50000,38943.91065
Sedan,10,202811,102,1938,35,14.9,12.08,31,32,Moderate,Low,9,Yes,25000-50000,37461.1282
Sedan,4,35269,99,1537,35,13.3,11.8,26,34,Good,Low,1,Yes,50000-80000,72786.82326
Hatchback,3,241679,100,1972,30,17.9,11.99,34,35,Good,Low,2,No,80000+,100037.1136
Hatchback,4,32884,87,3001,42,22.1,12.42,37,33,Moderate,Medium,3,No,50000-80000,62083.22477
SUV,12,185751,99,2065,36,12.9,11.73,45,35,Moderate,High,9,No,25000-50000,41028.6995
Sedan,8,23636,88,1918,32,16.5,12,44,30,Good,Medium,6,No,50000-80000,73898.34492
Truck,6,171622,107,1395,21,5.9,12.27,27,30,Moderate,Low,7,No,3000-10000,6947.261593
Truck,12,222027,100,2145,32,4.1,12.41,28,30,Critical,Low,12,No,3000-10000,8490.828649
Sedan,2,137871,88,2566,36,15.2,12.56,33,35,Worn,Medium,4,No,50000-80000,59169.11031
Sedan,3,84972,96,2340,35,13.6,11.71,40,28,Good,Medium,5,Yes,25000-50000,30225.14484
Hatchback,11,175154,86,2457,30,21.4,12.33,28,32,Moderate,Low,1,No,80000+,97604.69176
Truck,9,216925,97,2918,34,8.9,11.75,37,34,Good,Medium,8,No,25000-50000,48343.67838
SUV,9,93920,96,2663,26,13.2,12.01,45,34,Good,Low,10,No,80000+,97765.64829
Hatchback,1,190782,83,2528,32,17.6,12.62,27,29,Moderate,High,8,No,25000-50000,43225.55372
Hatchback,1,53207,94,1553,41,20,12.34,34,36,Good,High,9,No,50000-80000,69221.494
Sedan,5,139354,95,2060,35,16.3,12.47,27,31,Critical,High,2,No,10000-25000,22291.9054
Hatchback,4,130494,84,3274,45,15.7,11.97,42,34,Worn,Medium,10,No,50000-80000,58297.36283
Truck,10,35226,97,3155,35,10.9,12.76,38,31,Good,Medium,2,No,50000-80000,76908.26965
SUV,10,214390,99,800,35,11.9,12.65,41,31,Moderate,Medium,9,No,50000-80000,78508.54684
Hatchback,10,183781,93,980,34,19.3,11.78,36,30,Good,Low,6,No,80000+,102810.8258
SUV,4,41783,102,957,33,10.7,12.52,44,34,Moderate,Medium,5,No,50000-80000,64676.80171
SUV,1,100444,91,1623,29,11.2,12.49,42,33,Worn,Low,7,Yes,50000-80000,51008.72128
SUV,5,128919,99,948,31,10.5,12.35,36,34,Critical,Low,6,No,25000-50000,35527.22837
Hatchback,5,219818,88,3442,43,17.5,12.19,40,36,Worn,High,9,No,25000-50000,39411.12739
Sedan,6,122122,86,2326,37,14.2,11.85,42,34,Good,Low,11,No,50000-80000,67506.73701
SUV,10,49940,106,1900,27,12.4,12.02,31,30,Good,Medium,4,No,25000-50000,40035.06802
SUV,4,207291,99,2372,35,12.5,11.9,39,36,Worn,Low,7,No,50000-80000,57680.95921
Sedan,10,117722,93,1954,37,17.6,12.3,26,32,Moderate,Low,10,No,80000+,98482.034
Hatchback,11,121741,88,784,39,18.6,12.69,32,29,Worn,Medium,7,No,50000-80000,78653.50428
Hatchback,5,62650,95,2832,36,18,11.99,45,35,Good,Low,2,No,80000+,88440.77313
Hatchback,4,98968,90,1651,42,16.2,12.12,35,35,Good,Medium,9,No,80000+,87215.14531
Sedan,4,34963,84,2655,26,17.9,12.1,44,36,Moderate,Low,6,No,50000-80000,62945.92005
Hatchback,12,152266,91,1048,43,16.8,12.05,33,33,Good,Low,10,No,80000+,94771.23265
Truck,9,186893,105,2883,22,9.3,12.31,33,36,Moderate,Low,1,No,50000-80000,65001.68342
SUV,4,12157,95,3313,35,12.9,12.16,31,36,Worn,Low,12,No,25000-50000,37597.76799
Hatchback,7,120552,91,903,37,16.6,12.52,31,31,Good,High,1,No,50000-80000,71451.49803
Hatchback,4,248324,93,2244,41,17.8,12.67,25,28,Moderate,Medium,5,No,50000-80000,68632.12041
Hatchback,5,84636,86,3087,31,16.5,12.55,26,28,Good,High,2,No,50000-80000,53630.74725
